Study Id,Subject Id,Organ,Compartment,Species,Gender,Dose,Molecule,Molecular Weight,Time,Time unit,Measurement,Measurement unit,Error,LLOQ,Route,Group Id,Population,Weight [kg],Height [cm],Age [year(s)]
Chan 2009 S6 PMID: 19443683,1001,Peripheral Blood,Plasma,Monkey,Unknown,3,Evolocumab,144000,0.01,days,61584.82,ng/mL,,,IV,,,,,
Chan 2009 S6 PMID: 19443683,1001,Peripheral Blood,Plasma,Monkey,Unknown,3,Evolocumab,144000,0.52,days,48329.3,ng/mL,,,IV,,,,,
Chan 2009 S6 PMID: 19443683,1001,Peripheral Blood,Plasma,Monkey,Unknown,3,Evolocumab,144000,1.03,days,37926.9,ng/mL,,,IV,,,,,
Chan 2009 S6 PMID: 19443683,1001,Peripheral Blood,Plasma,Monkey,Unknown,3,Evolocumab,144000,2.86,days,30990.46,ng/mL,,,IV,,,,,
Chan 2009 S6 PMID: 19443683,1001,Peripheral Blood,Plasma,Monkey,Unknown,3,Evolocumab,144000,6.93,days,9604.09,ng/mL,,,IV,,,,,
Chan 2009 S6 PMID: 19443683,1001,Peripheral Blood,Plasma,Monkey,Unknown,3,Evolocumab,144000,10.03,days,6951.93,ng/mL,,,IV,,,,,
Chan 2009 S6 PMID: 19443683,1001,Peripheral Blood,Plasma,Monkey,Unknown,3,Evolocumab,144000,13.97,days,2636.65,ng/mL,,,IV,,,,,
Chan 2009 S6 PMID: 19443683,1001,Peripheral Blood,Plasma,Monkey,Unknown,3,Evolocumab,144000,16.78,days,224.32,ng/mL,,,IV,,,,,
Chan 2009 S6 PMID: 19443683,1001,Peripheral Blood,Plasma,Monkey,Unknown,3,Evolocumab,144000,20.9,days,112.88,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,0.3,Evolocumab,144000,0,days,6205.417,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,0.3,Evolocumab,144000,0.778,days,4315.878,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,0.3,Evolocumab,144000,1.867,days,2720.569,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,0.3,Evolocumab,144000,2.956,days,1892.16,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,0.3,Evolocumab,144000,3.733,days,1155.125,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,0.3,Evolocumab,144000,5.133,days,857.201,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,0,days,144244.246,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,1.089,days,126196.634,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,2.178,days,110407.11,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,3.889,days,99666.563,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,5.756,days,84231.008,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,7.156,days,81247.973,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,9.956,days,64167.371,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,14,days,48900.655,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,21,days,24168.149,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,27.689,days,12351.632,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,34.844,days,6305.663,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,41.689,days,3439.737,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,56,days,1328.522,ng/mL,,,IV,,,,,
FDA Access data Figure 6,1002,Peripheral Blood,Plasma,Human,Unknown,6,Evolocumab,144000,69.689,days,927.023,ng/mL,,,IV,,,,,
